pattern_id,code,pattern,length,density,frequency,found_in
P056,DDID,- - - X | - - - X | - X - X | - - - X,16,5,53,"ตับสมิงทอง, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ตระเสือขับ, ระบำสี่บท, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ตระนิมิต, ตระนอน …+11"
P057,DIIL,- - - X | - X - X | - X - X | X X - X,16,8,51,"เข้าม่าน, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ปฐม สองชั้น, ทะแยกลองโยน, ตับมโหรีนางนาค, ระบำพัทธวิสัย, ชำนาญ, โอด สองชั้น …+16"
P058,NIPI,- X X X | - X - X | X X X X | - X - X,16,11,51,"โหมโรงขวัญเมือง, เชิดจีน, เขมรพวง เถา, กราวนอก, ระบำม่านมุ้ยเชียงตา, โอ้ลาว เถา, ระบำฉิ่ง, ช้าเรื่องขอมดำดิน …+8"
P059,JIJI,- - X X | - X - X | - - X X | - X - X,16,8,50,"ทยอยเขมร สามชั้น, ทะเลบ้า เถา, แขกโอด สามชั้น, อกทะเล สามชั้น, ทยอยนอก สามชั้น, ตระสันนิบาต, ฟ้อนม่านมงคลใหม่, โหมโรงพม่าวัด …+11"
P060,NI,- X X X | - X - X,8,5,50,"เจดีย์เจ็ดยอด, เชิด ชั้นเดียว, ปฐม ชั้นเดียว, เชิดฉาน, ช้าปี่นอก, ช้าเรื่องจีนแส (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าปี่ …+6"
P061,PPPN,X X X X | X X X X | X X X X | - X X X,16,15,50,"โอ้ลาว เถา, ใบ้คลั่ง เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เขมรปี่แก้ว สามชั้น, แขกโอด สามชั้น, โหมโรงสามม้า, อาเฮีย เถา, ทยอยนอก สามชั้น …+3"
P062,ILII,- X - X | X X - X | - X - X | - X - X,16,9,49,"เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เชิด สองชั้น, ช้าเรื่องขอมดำดิน, สาธุการ, เข้าม่าน, ช้าเรื่องจีนแส (พระนคร), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง) …+6"
P063,NIIN,- X X X | - X - X | - X - X | - X X X,16,10,49,"กราวใน, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), สาธุการ, เข้าม่าน, พญาเดิน, ระบำพัทธวิสัย, เชิด สองชั้น, ชำนาญ …+12"
P064,JJJP,- - X X | - - X X | - - X X | X X X X,16,10,48,"พม่าห้าท่อน หกชั้น, ทะเลบ้า เถา, จีนลั่นถัน เถา, ทยอยนอก สามชั้น, เทพรัญจวน เถา, พม่าห้าท่อน สามชั้น, โหมโรงแขกมอญทางหลีก, โหมโรงจอมสุรางค์ …+10"
P065,NIDI,- X X X | - X - X | - - - X | - X - X,16,8,47,"เข้าม่าน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เชิดฉาน, เชิดฉาน (ฉบับโครงสร้าง), ตวงพระธาตุ สองชั้น, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ระบำพัทธวิสัย …+7"
